node_id,vi_do,kinh_do,so_nhanh,loai_giao_lo,kieu_giao_lo
9620524357,10.7953539,106.6579409,4,Hem/Ngo,Nga tu
10069778448,10.8091245,106.6476442,2,Duong nho,Duong thang
10079002159,10.8218196,106.6313849,2,Duong nho,Duong thang
10154991653,10.7913133,106.6544258,2,Hem/Ngo,Duong thang
10165794948,10.7832824,106.643334,6,Hem/Ngo,Nga 6
10165794949,10.7832417,106.6431015,2,Hem/Ngo,Duong thang
10165794951,10.7834734,106.643432,6,Hem/Ngo,Nga 6
10593824471,10.7752769,106.6483864,4,Duong lon,Nga tu
10792191361,10.8008153,106.6616907,3,Duong lon,Nga ba
10904787165,10.8068257,106.6666832,2,Hem/Ngo,Duong thang
10960824994,10.7928846,106.6534492,2,Duong lon,Duong thang
10960824995,10.7926968,106.6537942,2,Duong lon,Duong thang
11024170073,10.7894362,106.6647271,2,Hem/Ngo,Duong thang
11029840880,10.7981009,106.6518155,2,Duong nho,Duong thang
11039303870,10.7933527,106.663302,2,Hem/Ngo,Duong thang
11057882807,10.8113205,106.6672919,6,Hem/Ngo,Nga 6
11059131831,10.8015585,106.6654251,3,Duong lon,Nga ba
11088322407,10.7952504,106.6565922,4,Hem/Ngo,Nga tu
11113806449,10.8169045,106.6698902,2,Duong lon,Duong thang
11221952800,10.7881094,106.6624119,6,Duong lon,Nga 6
11234903727,10.7779736,106.6470908,2,Hem/Ngo,Duong thang
11235473528,10.7943781,106.6673765,2,Hem/Ngo,Duong thang
11301412300,10.8276939,106.6367184,2,Hem/Ngo,Duong thang
11303835912,10.816423,106.6674279,2,Duong nho,Duong thang
11323053473,10.8009836,106.6575601,6,Duong lon,Nga 6
11323053474,10.801113,106.6575558,4,Duong lon,Nga tu
11360463211,10.794906,106.658954,8,Duong lon,Nga 8
11360463236,10.7933443,106.6596201,3,Duong lon,Nga ba
11360463239,10.7933533,106.6591498,3,Duong lon,Nga ba
11360463241,10.7932173,106.6591181,3,Duong lon,Nga ba
11361603941,10.7914777,106.6619719,4,Duong lon,Nga tu
11361818072,10.7978185,106.6583852,4,Duong lon,Nga tu
